"Day 0: - 100 Days of Code: Course Overview","37635"
"Day 0 - 100 Days of Code: Where do I find it?","14657"
"Day 1 - 100 Days of Code: Print and Replit Workspace","349352"
"Day 2 - 100 Days of Code: Input & Variables","167788"
"Day 3 - 100 Days of Code: Concatenation","102516"
"Day 4 - 100 Days of Code: Project Day! Write your own story","96285"
"Day 5 - 100 Days of Code: If statements + Else","78105"
"Day 6 - 100 Days of Code: Elif","59975"
"Day 7 - 100 Days of Code: Nesting","56977"
"Day 8 - 100 Days of Code: Project Day! Affirmations / Insults","49286"
"Day 9 - 100 Days of Code: Casting","48016"
"Day 10 - 100 Days of Code: A bit of Math","42539"
"Day 11 - 100 Days of Code: Project Day! How many seconds in a year","34152"
"Day 12 - 100 Days of Code: Debug my code!","27207"
"Day 13 - 100 Days of Code: Project: What grade did I get?","30518"
"Day 14 - 100 Days of Code: 2 player rock, paper, scissor!","31759"
"Day 15: 100 Days of Code: Loops","35513"
"Day 16: 100 Days of Code: While True loop","28355"
"Day 17: 100 Days of Code: Continue Statement","27823"
"Day 18: 100 Days of Code: Project Day! Guess the Number Guessing Game","19140"
"Day 19: 100 Days of Code: For Loop","21742"
"Day 20: 100 Days of Code: Range","18216"
"Day 21: 100 Days of Code: Project Day! Build a Math Facts Game","15479"
"Day 22: 100 Days of Code: Libraries","17147"
"Day 23: 100 Days of Code: Subroutines","17341"
"Day 24: 100 Days of Code: Parameters","1999"
"Day 24: 100 Days of Code: Parameters","16400"
"Day 25: 100 Days of Code: Return Command","17957"
"Day 26: 100 Days of Code: More Libraries","14079"
"Day 27: 100 Days of Code: Project Day: Epic Character Battle, Part 1","12754"
"Day 27: Solution","7050"
"Day 28: 100 Days of Code: Project Day: Epic Character Battle, Part 2","11769"
"Day 28: Solution","6645"
"Day 29: 100 Days of Code: The Secrets of `print`","12351"
"Day 29: Solution","4700"
"Day 30: 100 Days of Code: f-strings","11186"
"Day 30: Solution","3764"
"Day 31: 100 Days of Code: Project Day: Create User Interfaces with Color","8480"
"Day 31: Solution","5115"
"Day 32: 100 Days of Code: Lists","9203"
"Day 32: Solution","2502"
"Day 33: 100 Days of Code: Dynamic Lists","9348"
"Day 33: Solution","2380"
"Day 34: 100 Days of Code: Pretty Printing","8910"
"Day 34: Solution","2853"
"Day 35: 100 Days of Code: Project Day: The ULTIMATE List Maker","6382"
"Day 35: Solution","3831"
"Day 36: 100 Days of Code: String Manipulation","6688"
"Day 36: Solution","1960"
"Day 37: Solution","1037"
"Day 38: 100 Days of Code: Strings and Loops","5797"
"Day 38: Solution","2061"
"Day 39: 100 Days of Code: Project Day: Hangman!","5917"
"Day 39: Solution","4119"
"Day 40: Solution","1806"
"Day 41: 100 Days of Code: Dictionaries with Loops","5737"
"Day 41: Solution","2444"
"Day 42: 100 Days of Code: Project Day: MokeBeast","4688"
"Day 42: Solution","2121"
"Day 37: 100 Days of Code: String Slicing","6119"
"Day 40 : 100 Days of Code: Dictionaries","5933"
"Day 43: 100 Days of Code: 2D Lists","5709"
"Day 43 Solution","3020"
"Day 44: 100 Days of Code","6318"
"Day 44: Solution","2728"
"Day 45: 100 Days of Code: Project Day: To Do List Management System","4619"
"Day 45: Solution","2215"
"Day 46: 100 Days of Code","4996"
"Day 46: Solution","1483"
"Day 47: 100 Days of Code: Project Day: Top Trumps","4165"
"Day 47 Solution","1798"
"Day 48: 100 Days of Code: Saving Files","5315"
"Day 48: Solution","1214"
"Day 49: 100 Days of Code: Reading a File","4836"
